id,label,start,end,text,doc_id
4967,DATE+,84,92,379 8911,259
4968,c: besluit datum,188,205,13 september 2022,259
4969,DATE+,253,269,19 november 2021,259
4970,c: verzoek datum,373,389,19 november 2021,259
4971,c: verzoek ontvangen,413,429,19 november 2021,259
4972,c: ontvangst verzoek bevestigd,621,637,30 november 2021,259
4973,DATE+,747,762,14 januari 2022,259
4974,DATE+,798,822,downloadlink zeven dagen,259
5262,ID,9,12,259,259
5263,title,25,73,Besluit_Woo-verzoek_inzake_de_eiwittransitie.pdf,259
5264,event,182,187,Datum,259
5265,event,400,409,ontvangen,259
5266,event,431,543,"heeft u het ministerie van Landbouw, Natuur en Voedselkwaliteit gevraagd Bijlage(n) informatie openbaar te maken",259
5267,event,638,705,heeft u bericht ontvangen dat uw verzoek in goede orde is ontvangen,259
4975,c: besluit datum,128,140,30 juni 2022,269
4976,c: verzoek datum,242,255,11 april 2022,269
4977,DATE+,385,389,2013,269
4978,DATE+,391,395,2014,269
4979,DATE+,399,403,2017,269
4980,c: ontvangst verzoek bevestigd,521,534,15 april 2022,269
4981,DATE+,601,612,23 mei 2022,269
4982,c: inwerking treden van Woo,636,646,1 mei 2022,269
4983,DATE+,798,810,30 juni 2022,269
4984,DATE+,1042,1054,30 juni 2022,269
4985,DATE+,1149,1161,30 juni 2022,269
4986,DATE+,1307,1319,30 juni 2022,269
4987,DATE+,2295,2307,30 juni 2022,269
4988,DATE+,2354,2358,2013,269
4989,DATE+,2360,2364,2014,269
4990,DATE+,2368,2372,2017,269
5268,ID,9,12,269,269
5270,title,25,69,Besluit_woo_gecombineerde-opgaven_boksum.pdf,269
5271,event,121,127,D atum,269
5272,event,257,350,"heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), informatie verzocht",269
5275,event,646,713, is de Wob ingetrokken en vervangen door de Wet open overheid (Woo),269
8271,event,456,516,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,269
4991,DATE+,88,95,22-0359,262
4992,c: besluit datum,113,129,23 augustus 2022,262
4993,DATE+,166,173,22-0359,262
4994,c: verzoek datum,197,208,11 mei 2022,262
4995,c: ontvangst verzoek bevestigd,393,404,11 mei 2022,262
4996,c: overig,480,491,8 juni 2022,262
4997,c: contact,602,613,1 juli 2022,262
